customer_id,tenure_months,monthly_charges,contract_type,support_calls,payment_method,international_plan,churned
C100081,32,103.62,two-year,2,electronic_check,no,1
C100082,12,27.67,month-to-month,0,bank_transfer,no,0
C100083,60,39.46,one-year,1,electronic_check,yes,0
C100084,45,20.39,one-year,2,electronic_check,no,0
C100085,50,64.53,month-to-month,3,bank_transfer,no,1
C100086,7,53.44,month-to-month,3,credit_card,no,1
C100087,23,36.6,two-year,2,bank_transfer,no,0
C100088,55,65.11,one-year,1,electronic_check,no,0
C100089,60,60.24,month-to-month,0,credit_card,no,0
C100090,31,96.77,month-to-month,1,bank_transfer,no,1
C100091,58,109.31,two-year,1,electronic_check,no,0
C100092,60,85.26,two-year,2,bank_transfer,no,0
C100093,28,32.44,two-year,1,bank_transfer,no,0
C100094,64,49.54,one-year,2,credit_card,no,0
C100095,21,111.33,two-year,1,bank_transfer,no,1
C100096,18,28.87,month-to-month,0,credit_card,no,0
C100097,49,60.69,one-year,1,credit_card,no,0
C100098,46,114.25,month-to-month,0,bank_transfer,no,1
C100099,10,115.07,one-year,3,credit_card,no,1
C100100,60,61.12,two-year,1,bank_transfer,no,0
C100101,15,86.74,two-year,1,bank_transfer,no,0
C100102,58,65.67,month-to-month,4,bank_transfer,no,0
C100103,1,95.35,one-year,2,electronic_check,no,1
C100104,57,23.16,two-year,0,bank_transfer,no,0
C100105,56,34.42,two-year,2,electronic_check,no,0
C100106,56,81.42,one-year,2,bank_transfer,no,0
C100107,48,43.26,month-to-month,2,electronic_check,no,0
C100108,34,86.61,month-to-month,1,electronic_check,no,1
C100109,51,55.12,two-year,2,bank_transfer,no,0
C100110,20,108.66,one-year,1,electronic_check,no,1
C100111,56,101.93,one-year,2,bank_transfer,no,1
C100112,40,69.28,one-year,2,electronic_check,no,1
C100113,33,97.29,month-to-month,0,electronic_check,no,1
C100114,36,47.11,month-to-month,0,bank_transfer,no,0
C100115,41,69.43,two-year,1,credit_card,no,0
C100116,3,39.75,month-to-month,0,electronic_check,no,0
C100117,10,106.09,one-year,1,bank_transfer,no,1
C100118,18,102.31,one-year,1,electronic_check,no,1
C100119,9,110.21,two-year,1,electronic_check,no,1
C100120,32,107.75,month-to-month,1,credit_card,no,1
C100121,48,115.96,one-year,2,credit_card,no,1
C100122,47,42.83,month-to-month,2,electronic_check,no,1
C100123,34,113.18,month-to-month,1,credit_card,no,0
C100124,61,77.12,month-to-month,3,electronic_check,no,1
C100125,41,,month-to-month,1,bank_transfer,no,0
C100126,6,76.04,two-year,1,electronic_check,yes,1
C100127,55,54.26,two-year,0,bank_transfer,yes,0
C100128,41,48.86,month-to-month,2,credit_card,no,1
C100129,46,44.13,two-year,3,credit_card,no,0
C100130,41,28.24,month-to-month,0,electronic_check,no,0
C100131,40,69.66,one-year,0,credit_card,no,0
C100132,7,108.78,two-year,1,credit_card,no,0
C100133,40,83.02,one-year,4,credit_card,no,0
C100134,57,72.1,month-to-month,1,bank_transfer,no,0
C100135,22,,month-to-month,1,electronic_check,no,0
C100136,43,66.44,month-to-month,3,electronic_check,no,1
C100137,3,40.93,two-year,1,electronic_check,no,0
C100138,25,102.29,one-year,1,electronic_check,no,1
C100139,32,39.84,month-to-month,4,electronic_check,no,1
C100140,70,91.66,month-to-month,1,bank_transfer,no,0
C100141,16,96.0,two-year,1,electronic_check,no,1
C100142,20,77.49,month-to-month,0,bank_transfer,no,1
C100143,30,106.29,one-year,0,credit_card,no,0
C100144,71,49.11,one-year,1,credit_card,no,0
C100145,61,108.16,month-to-month,2,credit_card,no,0
C100146,3,,month-to-month,3,bank_transfer,no,1
C100147,17,99.87,month-to-month,0,bank_transfer,no,0
C100148,59,86.46,month-to-month,0,bank_transfer,no,0
C100149,5,104.63,one-year,2,bank_transfer,no,1
C100150,61,119.31,two-year,0,bank_transfer,no,0
C100151,20,62.02,month-to-month,3,electronic_check,no,1
C100152,66,101.39,month-to-month,2,electronic_check,no,0
C100153,21,94.46,month-to-month,0,credit_card,no,1
C100154,31,65.29,month-to-month,0,credit_card,no,0
C100155,47,112.69,one-year,3,electronic_check,no,1
C100156,9,59.44,one-year,1,electronic_check,no,1
C100157,40,76.55,one-year,2,credit_card,no,0
C100158,36,30.59,month-to-month,1,bank_transfer,no,0
C100159,56,42.58,one-year,0,bank_transfer,no,0
C100160,71,104.07,month-to-month,1,bank_transfer,no,0
C100161,48,59.66,two-year,0,electronic_check,no,0
C100162,30,59.41,one-year,2,credit_card,no,0
C100163,29,44.6,two-year,1,bank_transfer,no,0
C100164,30,69.16,month-to-month,1,credit_card,yes,1
C100165,58,100.58,month-to-month,0,electronic_check,no,0
C100166,23,109.52,one-year,1,bank_transfer,no,1
C100167,12,27.01,month-to-month,3,electronic_check,no,1
C100168,24,77.48,one-year,1,electronic_check,yes,1
C100169,2,66.73,month-to-month,3,electronic_check,yes,1
C100170,8,81.43,two-year,0,electronic_check,no,1
C100171,7,64.73,month-to-month,2,electronic_check,no,1
C100172,55,59.86,two-year,2,bank_transfer,no,0
C100173,52,67.19,month-to-month,1,bank_transfer,no,0
C100174,50,78.2,month-to-month,2,bank_transfer,no,1
C100175,33,70.1,month-to-month,3,bank_transfer,yes,1
C100176,51,67.21,month-to-month,0,bank_transfer,no,0
C100177,12,101.78,two-year,1,electronic_check,no,1
C100178,64,94.56,two-year,2,bank_transfer,no,0
C100179,36,54.14,two-year,3,bank_transfer,no,0
C100180,67,100.06,two-year,3,bank_transfer,no,0
C100181,11,105.37,one-year,0,bank_transfer,no,1
C100182,36,35.35,month-to-month,1,electronic_check,no,1
C100183,50,78.27,two-year,1,bank_transfer,no,0
C100184,36,48.53,month-to-month,0,bank_transfer,no,0
C100185,32,93.92,two-year,2,credit_card,no,0
C100186,12,,month-to-month,3,bank_transfer,no,1
C100187,28,87.14,one-year,1,bank_transfer,no,0
C100188,17,45.51,month-to-month,2,credit_card,yes,1
C100189,22,71.11,month-to-month,3,electronic_check,no,1
C100190,49,114.86,month-to-month,1,electronic_check,no,1
C100191,45,58.13,month-to-month,1,credit_card,no,0
C100192,44,107.57,month-to-month,2,electronic_check,no,1
C100193,26,118.69,month-to-month,1,credit_card,no,1
C100194,69,107.49,month-to-month,2,bank_transfer,no,0
C100195,7,36.59,one-year,3,credit_card,no,1
C100196,25,101.97,month-to-month,3,bank_transfer,no,1
C100197,9,23.21,two-year,2,bank_transfer,no,0
C100198,25,59.33,month-to-month,0,credit_card,yes,0
C100199,69,107.07,one-year,1,credit_card,yes,0
C100200,27,88.88,month-to-month,3,electronic_check,no,1
C100201,65,73.27,month-to-month,0,electronic_check,no,0
C100202,36,58.79,one-year,2,credit_card,no,0
C100203,50,101.23,one-year,1,credit_card,no,0
C100204,33,90.96,month-to-month,0,credit_card,no,0
C100205,19,66.84,month-to-month,2,credit_card,no,1
C100206,55,109.25,month-to-month,2,electronic_check,yes,1
C100207,69,42.99,month-to-month,1,credit_card,no,0
C100208,19,37.04,month-to-month,1,credit_card,no,1
C100209,56,84.28,one-year,1,credit_card,no,0
C100210,19,117.2,month-to-month,3,bank_transfer,no,1
C100211,51,44.73,one-year,2,electronic_check,no,0
C100212,57,44.97,month-to-month,3,bank_transfer,no,0
C100213,32,33.95,month-to-month,2,electronic_check,no,0
C100214,53,106.06,month-to-month,2,electronic_check,yes,1
C100215,20,42.64,month-to-month,2,electronic_check,no,1
C100216,6,70.32,month-to-month,1,credit_card,no,1
C100217,7,119.09,two-year,2,electronic_check,yes,0
C100218,32,21.21,one-year,0,bank_transfer,no,0
C100219,65,75.65,month-to-month,3,credit_card,no,0
C100220,10,71.23,month-to-month,0,credit_card,no,1
C100221,33,100.74,two-year,0,electronic_check,no,0
C100222,50,55.53,month-to-month,1,credit_card,no,0
C100223,15,61.03,month-to-month,1,bank_transfer,no,1
C100224,52,36.79,two-year,0,electronic_check,no,0
C100225,22,94.08,month-to-month,1,electronic_check,no,1
C100226,58,98.47,month-to-month,0,credit_card,no,0
C100227,42,33.67,month-to-month,0,bank_transfer,no,0
C100228,39,59.35,one-year,3,electronic_check,yes,1
C100229,13,109.29,month-to-month,3,bank_transfer,no,1
C100230,33,20.27,one-year,4,bank_transfer,no,0
C100231,61,49.88,month-to-month,1,credit_card,no,0
C100232,2,75.5,month-to-month,0,electronic_check,no,1
C100233,54,53.41,month-to-month,1,credit_card,no,0
C100234,35,47.2,two-year,1,bank_transfer,no,0
C100235,52,66.0,month-to-month,1,bank_transfer,no,0
C100236,48,38.15,one-year,2,bank_transfer,no,1
C100237,31,72.96,month-to-month,2,bank_transfer,no,1
C100238,22,90.67,month-to-month,2,electronic_check,no,1
C100239,45,77.53,month-to-month,2,electronic_check,no,1
C100240,10,29.31,month-to-month,2,credit_card,no,1
C100241,42,104.44,month-to-month,1,credit_card,no,1
C100242,7,37.5,two-year,0,bank_transfer,no,0
C100243,47,96.48,two-year,5,bank_transfer,yes,1
C100244,45,56.06,one-year,1,electronic_check,no,0
C100245,6,98.28,one-year,2,bank_transfer,no,1
C100246,54,40.63,month-to-month,1,bank_transfer,no,0
C100247,30,38.67,one-year,3,credit_card,no,0
C100248,56,69.7,month-to-month,2,electronic_check,no,0
C100249,3,23.29,two-year,1,credit_card,no,0
C100250,13,42.53,two-year,0,bank_transfer,no,0
C100251,36,92.4,month-to-month,2,bank_transfer,no,0
C100252,14,103.74,two-year,0,credit_card,no,0
C100253,24,28.08,two-year,2,bank_transfer,no,0
C100254,47,108.21,month-to-month,2,bank_transfer,no,1
C100255,11,99.75,two-year,1,credit_card,no,1
C100256,49,106.97,month-to-month,1,credit_card,no,1
C100257,8,89.84,month-to-month,0,credit_card,no,0
C100258,13,87.42,month-to-month,0,electronic_check,no,1
C100259,42,72.51,one-year,0,credit_card,no,0
C100260,57,85.28,month-to-month,4,electronic_check,no,1
C100261,13,111.91,two-year,0,electronic_check,yes,1
C100262,22,30.05,month-to-month,1,bank_transfer,no,1
C100263,66,51.58,month-to-month,2,electronic_check,yes,0
C100264,71,27.25,one-year,2,credit_card,no,0
C100265,42,114.48,month-to-month,0,credit_card,no,0
C100266,32,64.53,one-year,2,electronic_check,no,0
C100267,25,87.53,month-to-month,1,bank_transfer,no,1
C100268,44,104.11,two-year,1,electronic_check,no,0
C100269,42,119.1,one-year,0,electronic_check,no,0
C100270,21,36.18,month-to-month,2,credit_card,no,0
C100271,2,99.95,month-to-month,0,credit_card,yes,1
C100272,11,108.74,month-to-month,0,electronic_check,no,1
C100273,69,24.89,two-year,2,credit_card,no,0
C100274,30,95.41,one-year,1,bank_transfer,yes,1
C100275,35,55.47,month-to-month,1,credit_card,no,0
C100276,34,84.86,month-to-month,3,credit_card,no,1
C100277,56,71.4,two-year,3,credit_card,no,0
C100278,5,45.97,month-to-month,1,credit_card,no,1
C100279,6,33.52,one-year,0,electronic_check,no,0
C100280,20,31.69,one-year,0,credit_card,no,0
C100281,35,30.33,month-to-month,1,electronic_check,yes,0
C100282,48,83.78,month-to-month,1,electronic_check,no,1
C100283,35,55.14,month-to-month,0,bank_transfer,no,1
C100284,32,41.66,month-to-month,1,bank_transfer,no,1
C100285,67,89.19,two-year,2,bank_transfer,yes,0
C100286,12,88.68,one-year,2,electronic_check,no,1
C100287,41,73.92,two-year,0,electronic_check,no,0
C100288,39,113.5,month-to-month,1,electronic_check,no,1
C100289,34,58.54,month-to-month,2,credit_card,no,0
C100290,58,103.59,one-year,1,electronic_check,no,1
C100291,19,27.51,month-to-month,0,credit_card,no,0
C100292,68,93.98,month-to-month,1,bank_transfer,no,0
C100293,24,118.84,month-to-month,0,credit_card,no,1
C100294,39,104.66,one-year,0,bank_transfer,no,0
C100295,37,77.97,one-year,0,electronic_check,no,0
C100296,61,82.68,month-to-month,1,electronic_check,no,0
C100297,32,55.33,two-year,1,electronic_check,no,0
C100298,21,87.95,month-to-month,1,bank_transfer,no,1
C100299,2,97.04,month-to-month,3,bank_transfer,yes,1
C100300,26,119.82,month-to-month,2,credit_card,no,1
C100301,59,69.25,two-year,1,electronic_check,no,0
C100302,1,26.13,month-to-month,1,electronic_check,no,1
C100303,64,79.59,month-to-month,2,credit_card,no,1
C100304,39,31.9,month-to-month,3,bank_transfer,yes,1
C100305,10,44.48,one-year,2,bank_transfer,no,0
C100306,22,52.88,one-year,3,bank_transfer,no,1
C100307,40,93.1,month-to-month,3,electronic_check,no,1
C100308,23,38.38,two-year,1,credit_card,no,0
C100309,8,36.58,month-to-month,2,electronic_check,no,1
C100310,48,24.5,month-to-month,2,bank_transfer,no,0
C100311,48,107.32,one-year,3,bank_transfer,no,1
C100312,9,89.35,one-year,0,credit_card,no,0
C100313,20,23.99,month-to-month,1,credit_card,no,1
C100314,18,22.83,one-year,0,credit_card,no,0
C100315,47,75.87,month-to-month,0,electronic_check,no,1
C100316,52,48.25,one-year,2,credit_card,yes,1
C100317,52,79.67,one-year,3,bank_transfer,no,0
C100318,67,63.46,two-year,1,electronic_check,no,0
C100319,55,112.33,month-to-month,1,credit_card,no,0
C100320,23,48.78,one-year,1,electronic_check,no,0
C100321,8,87.91,one-year,1,credit_card,no,1
C100322,44,25.41,month-to-month,2,credit_card,no,0
C100323,66,115.59,month-to-month,2,credit_card,no,1
C100324,70,118.08,two-year,1,credit_card,no,0
C100325,17,93.91,month-to-month,0,bank_transfer,no,1
C100326,17,66.52,one-year,2,credit_card,no,0
C100327,3,42.0,month-to-month,2,bank_transfer,no,1
C100328,11,,two-year,2,bank_transfer,yes,1
C100329,40,93.64,month-to-month,4,credit_card,no,1
C100330,39,42.2,two-year,1,credit_card,no,0
C100331,27,65.12,one-year,0,credit_card,no,0
C100332,23,66.28,month-to-month,3,credit_card,no,0
C100333,59,102.64,one-year,5,bank_transfer,yes,1
C100334,33,88.38,one-year,1,electronic_check,no,0
C100335,58,84.32,month-to-month,0,bank_transfer,no,0
C100336,69,84.98,month-to-month,1,bank_transfer,no,0
C100337,23,47.05,one-year,1,credit_card,no,0
C100338,15,57.17,one-year,5,credit_card,no,1
C100339,68,24.57,month-to-month,0,credit_card,no,0
C100340,46,98.69,two-year,1,bank_transfer,no,0
C100341,21,63.3,month-to-month,0,electronic_check,no,1
C100342,45,63.82,month-to-month,1,credit_card,no,0
C100343,37,44.54,one-year,1,electronic_check,no,0
C100344,65,40.94,month-to-month,1,bank_transfer,no,0
C100345,19,78.78,month-to-month,1,bank_transfer,no,0
C100346,71,43.26,month-to-month,2,bank_transfer,no,0
C100347,67,26.42,month-to-month,0,electronic_check,no,0
C100348,13,96.75,month-to-month,0,electronic_check,no,1
C100349,12,57.65,one-year,5,electronic_check,no,1
C100350,38,58.02,month-to-month,0,bank_transfer,no,1
C100351,4,63.13,two-year,1,credit_card,yes,0
C100352,22,101.5,one-year,1,bank_transfer,no,0
C100353,31,52.08,month-to-month,1,electronic_check,no,1
C100354,69,95.8,month-to-month,1,credit_card,no,0
C100355,71,113.95,one-year,2,bank_transfer,no,0
C100356,11,86.09,month-to-month,0,bank_transfer,no,1
C100357,64,63.17,month-to-month,0,bank_transfer,no,0
C100358,7,94.78,two-year,0,electronic_check,no,1
C100359,54,65.79,one-year,0,bank_transfer,no,0
C100360,61,61.44,one-year,0,credit_card,no,0
C100361,64,,month-to-month,5,credit_card,no,1
C100362,16,51.77,month-to-month,4,bank_transfer,no,1
C100363,64,30.43,month-to-month,0,electronic_check,yes,0
C100364,9,61.49,one-year,0,bank_transfer,no,0
C100365,37,32.39,month-to-month,1,electronic_check,yes,1
C100366,34,61.04,month-to-month,0,credit_card,no,1
C100367,23,75.69,month-to-month,0,credit_card,no,0
C100368,2,113.07,one-year,2,electronic_check,no,1
C100369,55,23.62,one-year,1,bank_transfer,no,0
C100370,24,82.15,month-to-month,1,electronic_check,no,1
C100371,47,65.77,month-to-month,1,electronic_check,yes,1
C100372,30,22.03,month-to-month,1,credit_card,yes,0
C100373,27,44.95,month-to-month,3,electronic_check,no,1
C100374,63,31.85,month-to-month,3,bank_transfer,no,0
C100375,7,41.68,month-to-month,1,bank_transfer,no,1
C100376,53,47.46,one-year,0,bank_transfer,no,0
C100377,54,60.13,one-year,2,credit_card,no,0
C100378,27,72.9,two-year,5,electronic_check,no,1
C100379,19,20.1,two-year,0,bank_transfer,no,0
C100380,1,36.19,month-to-month,0,credit_card,no,1
C100381,67,29.36,month-to-month,1,credit_card,no,0
C100382,68,,month-to-month,2,electronic_check,no,0
C100383,18,52.91,one-year,1,electronic_check,no,0
C100384,3,74.84,month-to-month,2,bank_transfer,no,1
C100385,9,42.18,month-to-month,1,electronic_check,no,1
C100386,5,22.42,month-to-month,1,bank_transfer,no,1
C100387,60,114.14,month-to-month,0,electronic_check,no,1
C100388,64,30.83,one-year,1,credit_card,no,0
C100389,11,32.69,one-year,1,credit_card,no,1
C100390,54,34.65,month-to-month,1,electronic_check,yes,0
C100391,13,118.13,two-year,2,electronic_check,no,1
C100392,27,81.77,month-to-month,1,bank_transfer,no,1
C100393,43,81.03,month-to-month,3,electronic_check,no,1
C100394,52,118.67,month-to-month,2,bank_transfer,no,1
C100395,63,28.84,one-year,0,electronic_check,no,0
C100396,4,117.45,one-year,3,bank_transfer,no,1
C100397,14,40.4,month-to-month,3,electronic_check,no,0
C100398,20,82.31,two-year,1,bank_transfer,no,1
C100399,23,62.01,month-to-month,0,bank_transfer,no,0
C100400,71,58.4,month-to-month,1,credit_card,no,0
C100401,56,113.12,one-year,2,credit_card,no,0
C100402,23,34.92,two-year,2,credit_card,yes,1
C100403,69,119.71,one-year,1,credit_card,no,0
C100404,36,57.91,two-year,2,bank_transfer,yes,0
C100405,36,84.88,month-to-month,1,credit_card,no,0
C100406,31,116.79,one-year,1,bank_transfer,no,0
C100407,11,25.76,two-year,3,credit_card,no,1
C100408,67,112.29,month-to-month,2,credit_card,no,1
C100409,1,76.78,month-to-month,1,electronic_check,no,1
C100410,13,90.44,two-year,0,credit_card,yes,0
C100411,17,34.92,month-to-month,1,bank_transfer,yes,1
C100412,20,73.34,month-to-month,1,credit_card,no,1
C100413,10,87.35,two-year,1,credit_card,yes,1
C100414,2,65.62,two-year,0,credit_card,no,0
C100415,49,35.5,two-year,2,credit_card,no,0
C100416,69,44.41,two-year,3,credit_card,no,0
C100417,9,105.44,month-to-month,0,bank_transfer,no,1
C100418,22,23.45,two-year,1,credit_card,no,0
C100419,36,90.89,month-to-month,2,electronic_check,yes,1
C100420,66,119.94,one-year,0,bank_transfer,no,0
C100421,50,20.75,month-to-month,2,bank_transfer,no,0
C100422,55,36.1,two-year,3,electronic_check,no,0
C100423,42,87.41,one-year,1,electronic_check,no,0
C100424,30,26.0,two-year,1,bank_transfer,no,0
C100425,15,78.98,month-to-month,2,electronic_check,no,1
C100426,62,88.4,month-to-month,1,bank_transfer,no,0
C100427,58,78.81,month-to-month,0,electronic_check,no,0
C100428,2,,month-to-month,1,electronic_check,no,1
C100429,51,89.73,one-year,1,electronic_check,no,1
C100430,6,79.43,month-to-month,2,bank_transfer,no,1
C100431,53,40.76,one-year,2,bank_transfer,no,0
C100432,59,76.31,month-to-month,2,bank_transfer,no,0
C100433,10,108.19,month-to-month,2,electronic_check,no,1
C100434,31,86.68,one-year,2,electronic_check,no,1
C100435,9,67.18,month-to-month,1,credit_card,no,1
C100436,41,52.16,month-to-month,1,credit_card,no,0
C100437,66,28.59,month-to-month,3,electronic_check,no,1
C100438,6,44.46,month-to-month,0,bank_transfer,yes,0
C100439,29,21.12,one-year,3,bank_transfer,no,1
C100440,70,118.66,month-to-month,2,electronic_check,no,1
C100441,22,42.25,month-to-month,0,credit_card,no,0
C100442,10,101.49,one-year,1,credit_card,yes,1
C100443,35,36.86,month-to-month,1,electronic_check,no,1
C100444,37,48.36,one-year,3,electronic_check,no,0
C100445,48,61.83,month-to-month,1,electronic_check,no,0
C100446,23,52.44,two-year,1,electronic_check,no,0
C100447,68,99.84,month-to-month,2,electronic_check,no,1
C100448,37,115.77,month-to-month,4,electronic_check,no,1
C100449,21,107.53,two-year,0,electronic_check,no,0
C100450,69,35.36,one-year,2,bank_transfer,no,0
C100451,66,97.67,one-year,2,electronic_check,no,0
C100452,36,34.79,two-year,2,credit_card,no,0
C100453,2,111.34,month-to-month,0,bank_transfer,no,1
C100454,43,71.79,two-year,4,credit_card,no,0
C100455,40,53.64,one-year,3,electronic_check,no,0
C100456,11,35.7,month-to-month,1,bank_transfer,no,0
C100457,46,21.18,month-to-month,3,credit_card,no,0
C100458,60,44.79,month-to-month,3,bank_transfer,no,0
C100459,8,,two-year,2,credit_card,no,1
C100460,52,99.73,month-to-month,2,credit_card,no,1
C100461,10,116.98,month-to-month,2,bank_transfer,no,1
C100462,54,30.08,one-year,1,bank_transfer,no,0
C100463,30,79.22,one-year,1,bank_transfer,yes,1
C100464,1,45.72,month-to-month,0,credit_card,yes,1
C100465,69,74.29,two-year,1,electronic_check,no,0
C100466,12,52.05,month-to-month,2,credit_card,no,1
C100467,43,48.35,two-year,3,electronic_check,no,1
C100468,13,77.38,month-to-month,1,credit_card,yes,1
C100469,67,38.33,month-to-month,0,credit_card,yes,0
C100470,53,66.91,one-year,1,bank_transfer,no,0
C100471,58,85.08,month-to-month,3,electronic_check,no,1
C100472,31,32.82,month-to-month,1,electronic_check,no,0
C100473,34,113.06,month-to-month,2,bank_transfer,yes,1
C100474,46,70.57,one-year,2,credit_card,no,0
C100475,56,101.95,two-year,2,electronic_check,no,0
C100476,61,85.39,two-year,1,credit_card,no,0
C100477,2,91.0,two-year,0,bank_transfer,yes,0
C100478,48,91.61,two-year,1,electronic_check,no,0
C100479,8,107.51,month-to-month,0,bank_transfer,no,1
C100480,21,81.36,month-to-month,0,electronic_check,yes,1
C100481,59,47.82,two-year,2,electronic_check,no,0
C100482,18,29.95,two-year,1,electronic_check,no,0
C100483,57,80.63,two-year,2,bank_transfer,no,0
C100484,33,,one-year,2,electronic_check,no,0
C100485,17,44.13,month-to-month,0,credit_card,no,1
C100486,24,26.07,two-year,1,credit_card,yes,0
C100487,38,74.89,two-year,0,credit_card,no,0
C100488,55,36.03,one-year,3,credit_card,no,0
C100489,44,81.04,two-year,3,credit_card,no,0
C100490,67,99.09,one-year,2,electronic_check,no,0
C100491,62,102.19,two-year,5,bank_transfer,no,0
C100492,54,50.95,month-to-month,0,bank_transfer,no,0
C100493,43,74.9,two-year,3,bank_transfer,yes,0
C100494,21,76.3,month-to-month,1,bank_transfer,no,1
C100495,30,67.29,month-to-month,0,bank_transfer,no,0
C100496,9,85.51,month-to-month,0,credit_card,no,1
C100497,27,41.01,month-to-month,0,electronic_check,yes,1
C100498,66,117.92,month-to-month,2,electronic_check,yes,1
C100499,31,29.81,two-year,1,credit_card,no,0
C100500,9,102.92,one-year,1,credit_card,no,1
C100501,47,79.41,two-year,0,credit_card,yes,0
C100502,69,44.49,month-to-month,1,bank_transfer,no,0
C100503,62,94.57,month-to-month,0,electronic_check,no,0
C100504,20,28.45,one-year,0,electronic_check,no,0
C100505,33,97.44,one-year,1,electronic_check,no,1
C100506,38,79.0,month-to-month,1,bank_transfer,no,0
C100507,18,31.08,two-year,0,electronic_check,no,0
C100508,20,27.95,two-year,2,credit_card,yes,0
C100509,17,95.08,one-year,1,electronic_check,no,1
C100510,71,49.29,two-year,1,credit_card,no,0
C100511,53,108.93,one-year,2,electronic_check,no,0
C100512,60,96.21,one-year,0,credit_card,no,0
