listing_id,sqft,bedrooms,bathrooms,age_years,neighborhood,has_garage,price
L200039,3237,4,3,51,suburbs,yes,528500.0
L200040,2038,2,1,43,suburbs,no,352800.0
L200041,3026,2,2,32,suburbs,no,494800.0
L200042,3369,5,4,38,suburbs,yes,586700.0
L200043,3648,5,4,20,rural,yes,597200.0
L200044,1678,3,3,10,suburbs,no,323000.0
L200045,4172,4,4,53,downtown,yes,760500.0
L200046,4490,5,4,22,downtown,yes,874200.0
L200047,1441,1,1,42,rural,yes,218800.0
L200048,1412,2,2,44,downtown,yes,308700.0
L200049,2100,2,2,79,downtown,no,436700.0
L200050,1791,1,1,66,suburbs,yes,274600.0
L200051,1327,2,2,14,waterfront,yes,381700.0
L200052,1254,1,1,4,suburbs,yes,248200.0
L200053,3368,5,4,77,rural,yes,529500.0
L200054,4325,5,4,7,downtown,yes,852700.0
L200055,973,1,1,57,rural,yes,104800.0
L200056,2828,2,2,63,suburbs,yes,467400.0
L200057,1691,3,2,69,waterfront,no,405300.0
L200058,1563,1,1,27,suburbs,yes,269300.0
L200059,2831,3,3,27,suburbs,no,479300.0
L200060,1124,1,1,20,waterfront,yes,341100.0
L200061,924,2,1,13,waterfront,no,324200.0
L200062,4011,3,3,18,downtown,yes,723900.0
L200063,2339,4,4,16,downtown,yes,522000.0
L200064,844,2,2,77,suburbs,yes,144100.0
L200065,4018,4,3,38,downtown,yes,786700.0
L200066,3108,4,4,40,suburbs,no,562400.0
L200067,3479,4,4,50,downtown,yes,668300.0
L200068,2979,2,1,12,suburbs,yes,494400.0
L200069,2448,3,3,79,suburbs,yes,428100.0
L200070,3610,4,4,32,downtown,yes,696300.0
L200071,1944,2,1,40,suburbs,no,326100.0
L200072,3259,4,4,20,suburbs,yes,575900.0
L200073,4041,4,4,23,waterfront,yes,823200.0
L200074,3862,5,4,13,downtown,yes,793400.0
L200075,2762,3,3,40,rural,yes,454700.0
L200076,748,1,1,78,waterfront,yes,241700.0
L200077,659,1,1,1,suburbs,yes,179900.0
L200078,2278,3,3,35,suburbs,no,405000.0
L200079,3185,4,4,31,downtown,no,601400.0
L200080,915,1,1,55,suburbs,yes,151600.0
L200081,2201,3,2,59,downtown,yes,459800.0
L200082,2180,1,1,71,suburbs,no,349500.0
L200083,2389,2,2,20,waterfront,yes,602100.0
L200084,2787,3,3,16,downtown,yes,576800.0
L200085,1688,2,2,38,suburbs,yes,315800.0
L200086,2915,3,2,10,suburbs,yes,541600.0
L200087,2365,3,3,38,suburbs,yes,406000.0
L200088,4206,4,4,20,suburbs,no,722900.0
L200089,1865,2,2,25,suburbs,yes,374100.0
L200090,4194,5,4,57,suburbs,yes,728200.0
L200091,4352,5,4,11,downtown,yes,863200.0
L200092,1808,3,2,30,suburbs,no,318200.0
L200093,2189,3,3,54,suburbs,yes,379000.0
L200094,3326,4,4,39,downtown,yes,638100.0
L200095,2388,1,1,68,suburbs,yes,338000.0
L200096,3379,4,4,1,suburbs,no,619700.0
L200097,1610,2,2,32,suburbs,yes,323700.0
L200098,4332,5,4,0,suburbs,no,766500.0
L200099,3322,4,3,4,suburbs,yes,605600.0
L200100,927,1,1,32,rural,yes,185300.0
L200101,1548,2,2,20,suburbs,yes,322100.0
L200102,3006,4,3,12,suburbs,yes,536200.0
L200103,1742,2,2,76,suburbs,no,201300.0
L200104,2188,2,2,63,suburbs,yes,354600.0
L200105,3121,2,1,34,rural,no,463700.0
L200106,1954,2,2,76,suburbs,no,305900.0
L200107,4126,5,4,6,downtown,yes,789400.0
L200108,3008,2,2,74,suburbs,yes,455500.0
L200109,2236,2,1,70,downtown,no,378900.0
L200110,1690,4,3,37,suburbs,yes,321200.0
L200111,1753,2,1,56,waterfront,yes,429500.0
L200112,739,3,3,22,suburbs,no,226100.0
L200113,935,1,1,77,suburbs,yes,124000.0
L200114,3633,4,4,38,downtown,no,670700.0
L200115,3597,4,4,17,suburbs,yes,658700.0
L200116,938,1,1,8,suburbs,yes,206200.0
L200117,2754,2,1,55,rural,yes,427500.0
L200118,1879,2,2,75,suburbs,no,322000.0
L200119,3320,4,3,55,waterfront,no,675700.0
L200120,2920,3,3,53,suburbs,yes,482000.0
L200121,3718,4,3,63,downtown,yes,703000.0
L200122,3032,4,4,22,suburbs,yes,549200.0
L200123,1379,2,1,27,downtown,yes,322800.0
L200124,3198,3,2,60,downtown,yes,591600.0
L200125,3855,5,4,51,downtown,yes,712400.0
L200126,4478,4,3,19,suburbs,yes,746100.0
L200127,3344,4,4,4,downtown,yes,664600.0
L200128,2165,2,1,60,waterfront,no,453600.0
L200129,2585,3,2,68,rural,yes,401400.0
L200130,1136,1,1,32,suburbs,yes,170100.0
L200131,3084,3,2,66,suburbs,yes,495500.0
L200132,1138,1,1,69,downtown,yes,206000.0
L200133,1614,3,2,56,suburbs,no,275000.0
L200134,2589,4,4,79,downtown,yes,516700.0
L200135,2466,2,2,77,suburbs,no,367500.0
L200136,2096,1,1,25,downtown,yes,437000.0
L200137,3124,2,2,71,suburbs,yes,496300.0
L200138,4161,6,4,44,suburbs,yes,666400.0
L200139,4199,5,4,30,suburbs,yes,754800.0
L200140,2592,3,2,19,suburbs,yes,472900.0
L200141,2751,2,2,55,downtown,yes,493900.0
L200142,2362,2,2,64,downtown,yes,434700.0
L200143,4098,4,3,16,suburbs,no,633800.0
L200144,3963,5,4,39,suburbs,yes,690100.0
L200145,811,1,1,71,downtown,yes,219000.0
L200146,3704,3,2,78,rural,yes,528200.0
L200147,716,1,1,35,downtown,yes,195600.0
L200148,3384,4,3,70,downtown,no,606300.0
L200149,1920,1,1,68,suburbs,no,315300.0
L200150,2656,2,1,21,downtown,yes,540300.0
L200151,3653,4,3,36,suburbs,no,628300.0
L200152,1515,2,2,9,downtown,yes,422400.0
L200153,1118,2,2,0,suburbs,no,271600.0
L200154,2813,3,3,49,suburbs,yes,511500.0
L200155,3868,4,3,0,downtown,yes,743700.0
L200156,1051,1,1,25,suburbs,yes,204500.0
L200157,2111,3,3,14,rural,yes,410700.0
L200158,2693,2,2,20,rural,yes,413500.0
L200159,1486,1,1,19,suburbs,yes,289400.0
L200160,3920,5,4,43,waterfront,yes,780200.0
L200161,2933,4,4,61,downtown,yes,579300.0
L200162,2608,2,2,43,rural,yes,414400.0
L200163,1141,2,1,60,waterfront,no,318800.0
L200164,867,1,1,43,suburbs,no,157500.0
L200165,1245,2,2,55,downtown,yes,310600.0
L200166,722,2,2,23,waterfront,yes,327000.0
L200167,2685,4,3,26,suburbs,yes,460100.0
L200168,3955,3,3,12,downtown,no,716000.0
L200169,3556,4,3,41,rural,no,549600.0
L200170,1474,1,1,14,suburbs,no,271000.0
L200171,1364,2,2,50,suburbs,yes,247600.0
L200172,2650,4,4,57,suburbs,no,491300.0
L200173,3632,5,4,70,waterfront,yes,731800.0
L200174,3629,4,3,37,suburbs,yes,643100.0
L200175,2635,3,2,79,rural,yes,370900.0
L200176,1587,1,1,37,downtown,yes,331600.0
L200177,2484,3,3,57,suburbs,yes,414800.0
L200178,3476,4,4,78,suburbs,yes,583100.0
L200179,4030,3,2,42,suburbs,yes,620000.0
L200180,893,1,1,73,downtown,no,154900.0
L200181,3619,6,4,46,downtown,no,672200.0
L200182,3519,4,4,5,downtown,yes,711700.0
L200183,1432,2,2,39,suburbs,yes,256000.0
L200184,849,1,1,63,downtown,yes,221100.0
L200185,1804,2,2,51,suburbs,no,287600.0
L200186,1680,2,2,19,rural,yes,253200.0
L200187,1041,1,1,22,suburbs,yes,235400.0
L200188,1601,1,1,57,rural,yes,250800.0
L200189,1362,2,2,63,suburbs,yes,246300.0
L200190,4076,6,4,13,waterfront,yes,854300.0
L200191,934,1,1,36,rural,no,137800.0
L200192,2684,3,2,11,suburbs,no,445100.0
L200193,1873,3,2,23,suburbs,yes,395500.0
L200194,3887,4,3,75,suburbs,yes,621700.0
L200195,2450,3,2,2,rural,yes,439400.0
L200196,2870,6,4,44,suburbs,yes,527100.0
L200197,2144,3,2,36,suburbs,yes,401400.0
L200198,3746,4,3,27,rural,yes,641500.0
L200199,3204,4,4,71,waterfront,yes,664900.0
L200200,2750,4,4,71,suburbs,yes,486200.0
L200201,2146,2,1,1,suburbs,yes,419600.0
L200202,2354,1,1,23,suburbs,yes,414800.0
L200203,1585,2,1,18,suburbs,yes,331600.0
L200204,3166,4,3,5,downtown,no,632300.0
L200205,1750,2,1,40,waterfront,yes,439000.0
L200206,1717,3,2,31,suburbs,yes,340600.0
L200207,2419,4,3,31,downtown,yes,535500.0
L200208,4183,5,4,56,downtown,yes,751000.0
L200209,2313,2,1,77,suburbs,no,358500.0
L200210,4141,3,2,52,suburbs,no,699600.0
L200211,2654,3,3,49,suburbs,no,454300.0
L200212,883,1,1,37,suburbs,no,135100.0
L200213,2877,2,2,32,suburbs,no,461900.0
L200214,4175,5,4,40,suburbs,no,714000.0
L200215,4040,5,4,21,downtown,yes,753000.0
L200216,1309,1,1,42,downtown,no,256200.0
L200217,1645,2,1,30,suburbs,yes,269800.0
L200218,3256,4,3,29,rural,no,522400.0
L200219,2304,2,1,69,downtown,yes,465700.0
L200220,3810,3,3,6,suburbs,yes,643300.0
L200221,2629,4,4,65,downtown,yes,547000.0
L200222,1540,1,1,12,downtown,no,330000.0
L200223,1893,1,1,30,downtown,yes,377300.0
L200224,1039,1,1,57,suburbs,no,183800.0
L200225,1715,2,2,73,downtown,yes,310400.0
L200226,3549,4,4,64,rural,yes,606400.0
L200227,1466,1,1,58,suburbs,no,243300.0
L200228,2325,3,2,31,suburbs,yes,446000.0
L200229,1301,2,2,28,waterfront,yes,380300.0
L200230,2498,1,1,26,downtown,no,472300.0
L200231,4366,5,4,66,suburbs,yes,742800.0
L200232,3571,5,4,48,suburbs,yes,620300.0
L200233,3580,4,3,5,downtown,yes,675400.0
L200234,1589,2,2,1,downtown,yes,365100.0
L200235,1798,3,2,9,rural,no,307900.0
L200236,978,1,1,45,downtown,yes,252600.0
L200237,4192,5,4,78,suburbs,yes,681400.0
L200238,4335,5,4,37,suburbs,no,711100.0
L200239,1922,2,1,19,downtown,no,413800.0
L200240,3328,4,4,35,rural,yes,545400.0
L200241,1423,2,1,56,rural,yes,207500.0
L200242,3143,5,4,0,rural,yes,594500.0
L200243,970,2,2,52,downtown,yes,275000.0
L200244,1898,2,1,75,waterfront,yes,393100.0
L200245,2133,2,2,74,suburbs,yes,313100.0
L200246,4483,4,4,13,suburbs,no,723500.0
L200247,2422,3,2,78,suburbs,yes,394900.0
L200248,1467,1,1,9,rural,yes,283600.0
L200249,783,3,3,37,suburbs,yes,244200.0
L200250,1294,1,1,30,suburbs,no,246900.0
L200251,1544,1,1,53,suburbs,yes,307600.0
L200252,1841,2,2,62,downtown,no,365200.0
L200253,1131,1,1,48,downtown,yes,293700.0
L200254,3481,4,3,61,suburbs,yes,564300.0
L200255,2108,1,1,78,suburbs,no,264800.0
L200256,1524,2,2,40,suburbs,yes,280600.0
L200257,2650,1,1,46,rural,yes,387100.0
L200258,1819,2,1,43,suburbs,yes,382900.0
L200259,3267,3,2,21,downtown,no,604600.0
L200260,2665,3,2,36,suburbs,yes,437900.0
L200261,4235,4,4,44,downtown,yes,790800.0
L200262,3134,4,3,2,rural,yes,528200.0
L200263,2030,3,3,31,suburbs,no,376000.0
L200264,1181,2,1,22,rural,no,222700.0
L200265,996,2,2,53,downtown,no,225700.0
L200266,3153,3,3,31,suburbs,yes,582600.0
L200267,728,1,1,10,suburbs,yes,208100.0
L200268,2086,3,3,44,downtown,no,438700.0
L200269,679,2,2,36,suburbs,yes,217100.0
L200270,1950,2,1,52,downtown,yes,379800.0
L200271,4045,5,4,59,downtown,no,745000.0
L200272,908,1,1,79,suburbs,no,141900.0
L200273,4400,4,3,49,suburbs,no,685900.0
L200274,4398,5,4,40,suburbs,yes,729500.0
L200275,3968,5,4,22,suburbs,yes,749700.0
L200276,3303,3,3,53,downtown,yes,634500.0
L200277,1295,1,1,32,suburbs,no,248900.0
L200278,989,1,1,76,suburbs,no,133000.0
L200279,4184,5,4,54,suburbs,yes,721300.0
L200280,2028,2,1,22,suburbs,yes,355100.0
L200281,2353,3,3,75,downtown,no,484900.0
L200282,912,1,1,36,suburbs,yes,215200.0
L200283,833,1,1,49,downtown,yes,246400.0
L200284,2711,3,2,57,suburbs,no,458400.0
L200285,2181,4,3,52,suburbs,yes,401500.0
L200286,3330,4,3,45,suburbs,no,567400.0
L200287,3853,3,2,58,downtown,no,695600.0
L200288,820,1,1,71,suburbs,no,140700.0
L200289,4384,5,4,13,suburbs,yes,743300.0
L200290,4196,4,3,45,suburbs,yes,722800.0
L200291,2836,4,4,48,suburbs,yes,490700.0
L200292,2059,2,2,73,suburbs,no,321100.0
L200293,1249,1,1,46,downtown,yes,272200.0
L200294,1515,2,2,11,suburbs,yes,245100.0
L200295,3334,3,2,61,rural,no,496300.0
L200296,1106,2,1,64,waterfront,yes,376000.0
L200297,4365,5,4,67,downtown,no,771500.0
L200298,1167,1,1,17,rural,yes,279900.0
L200299,3543,4,3,12,downtown,yes,682600.0
L200300,3914,4,4,3,suburbs,yes,700100.0
L200301,1753,1,1,34,suburbs,yes,301600.0
L200302,2472,3,3,8,downtown,yes,529200.0
L200303,2849,3,3,61,downtown,yes,547300.0
L200304,3713,3,3,46,downtown,yes,708800.0
L200305,799,1,1,25,suburbs,yes,156900.0
L200306,1485,1,1,23,suburbs,yes,275700.0
L200307,1184,1,1,35,suburbs,no,224200.0
L200308,1840,3,2,11,suburbs,yes,399800.0
L200309,3224,4,3,33,downtown,no,556000.0
L200310,2209,3,3,50,suburbs,no,347300.0
L200311,2519,3,3,36,suburbs,no,437900.0
L200312,2372,3,2,39,downtown,yes,507900.0
L200313,620,1,1,66,waterfront,no,213000.0
L200314,980,2,1,30,suburbs,yes,227900.0
L200315,1485,1,1,9,suburbs,yes,336100.0
L200316,775,1,1,42,suburbs,yes,161200.0
L200317,3806,4,4,13,suburbs,no,650700.0
L200318,4483,6,4,68,suburbs,no,743000.0
L200319,2490,3,3,12,rural,yes,441500.0
L200320,3199,4,4,57,downtown,yes,617600.0
L200321,819,1,1,36,downtown,yes,227300.0
L200322,813,1,1,39,downtown,yes,222200.0
L200323,2959,2,2,70,waterfront,yes,560100.0
L200324,3613,4,3,65,suburbs,yes,609200.0
L200325,4224,4,3,13,suburbs,no,680000.0
L200326,2008,3,2,69,downtown,yes,384500.0
L200327,2232,3,3,25,suburbs,yes,390500.0
L200328,3706,3,2,30,waterfront,yes,725700.0
L200329,1148,1,1,66,suburbs,no,179600.0
L200330,4304,5,4,11,downtown,no,772300.0
L200331,1760,2,2,32,rural,no,276100.0
L200332,703,1,1,9,waterfront,yes,301300.0
L200333,3682,4,4,45,suburbs,yes,589200.0
L200334,4360,4,3,51,suburbs,yes,690600.0
L200335,2478,2,1,46,suburbs,yes,453200.0
L200336,1246,1,1,74,suburbs,yes,183500.0
L200337,1190,1,1,56,rural,yes,195500.0
L200338,1759,1,1,3,suburbs,yes,317200.0
L200339,2681,2,1,16,suburbs,yes,465500.0
L200340,3045,3,3,39,downtown,yes,563200.0
L200341,3323,3,2,36,suburbs,yes,507900.0
L200342,3392,3,2,15,downtown,yes,630900.0
L200343,1539,1,1,42,suburbs,yes,278900.0
L200344,1263,1,1,42,waterfront,no,351200.0
L200345,4310,5,4,36,downtown,yes,799200.0
L200346,1133,1,1,68,suburbs,yes,170800.0
L200347,2587,3,2,30,suburbs,yes,480200.0
L200348,1717,2,2,62,downtown,yes,339700.0
L200349,3451,4,3,55,suburbs,no,547600.0
L200350,1869,3,2,77,rural,yes,264600.0
L200351,991,1,1,50,downtown,no,219200.0
L200352,1841,2,1,38,suburbs,yes,318000.0
L200353,992,1,1,0,suburbs,no,217200.0
L200354,1268,2,2,53,suburbs,no,193300.0
L200355,2443,2,1,42,downtown,yes,454900.0
L200356,4386,6,4,71,downtown,yes,770200.0
L200357,1393,3,2,47,downtown,yes,347100.0
L200358,3712,4,3,55,suburbs,no,608200.0
L200359,2629,2,2,72,downtown,yes,451700.0
L200360,4422,5,4,77,suburbs,yes,730800.0
L200361,2629,4,4,17,suburbs,yes,502200.0
L200362,1004,1,1,19,rural,yes,201200.0
L200363,2200,4,3,62,rural,no,337200.0
L200364,894,1,1,10,suburbs,no,202900.0
L200365,1465,1,1,65,downtown,yes,320700.0
L200366,2690,3,3,11,downtown,no,542500.0
L200367,4110,5,4,29,rural,no,720600.0
L200368,2996,3,2,68,suburbs,no,481300.0
L200369,2022,3,2,11,suburbs,yes,437400.0
L200370,3077,4,4,4,suburbs,no,624600.0
L200371,1552,3,3,60,downtown,yes,315500.0
L200372,963,1,1,64,suburbs,yes,198400.0
L200373,3461,3,2,60,suburbs,no,553400.0
L200374,3890,5,4,37,downtown,yes,742100.0
L200375,2988,4,3,61,rural,yes,463000.0
L200376,2509,3,2,55,suburbs,no,389000.0
L200377,2385,2,1,30,suburbs,yes,381600.0
L200378,2035,3,3,59,suburbs,yes,421300.0
L200379,4382,4,3,15,downtown,yes,813700.0
L200380,2567,3,3,33,suburbs,no,412000.0
L200381,4000,5,4,66,suburbs,yes,641900.0
L200382,757,1,1,11,suburbs,yes,132600.0
L200383,1974,3,2,33,suburbs,no,383700.0
L200384,1438,1,1,49,suburbs,no,234300.0
L200385,1054,2,2,47,suburbs,yes,229700.0
L200386,4494,5,4,76,suburbs,yes,729400.0
L200387,802,1,1,52,suburbs,no,165400.0
L200388,2754,2,2,2,downtown,yes,541000.0
L200389,1447,3,3,79,rural,no,229800.0
L200390,906,1,1,18,downtown,yes,265300.0
L200391,4431,5,4,47,downtown,no,759700.0
L200392,1742,1,1,69,rural,no,211600.0
L200393,1970,3,2,48,suburbs,yes,348800.0
L200394,1320,2,2,5,suburbs,yes,295800.0
L200395,3276,4,4,28,suburbs,yes,620000.0
L200396,4206,5,4,0,downtown,yes,812700.0
L200397,1922,3,2,33,suburbs,yes,359500.0
L200398,3744,4,4,70,suburbs,yes,624900.0
L200399,2195,3,2,20,downtown,yes,466400.0
L200400,2732,3,2,61,rural,yes,422100.0
L200401,3721,4,4,3,downtown,yes,765400.0
L200402,4311,4,4,20,rural,no,686000.0
L200403,2974,5,4,45,suburbs,yes,547900.0
L200404,2054,3,3,77,waterfront,yes,457800.0
L200405,2428,2,1,49,rural,yes,400200.0
L200406,3973,5,4,56,rural,yes,619600.0
L200407,1978,1,1,61,waterfront,yes,432300.0
L200408,2423,3,2,9,rural,yes,445600.0
L200409,3623,2,2,76,rural,yes,501800.0
L200410,3909,4,3,36,downtown,yes,740200.0
L200411,2342,2,2,24,rural,yes,334500.0
L200412,4112,5,4,69,suburbs,yes,654200.0
L200413,3962,6,4,39,waterfront,no,799100.0
L200414,2405,4,3,53,suburbs,yes,494500.0
L200415,1681,3,3,29,downtown,yes,403800.0
L200416,1294,1,1,46,downtown,yes,294500.0
L200417,1070,1,1,12,downtown,no,299900.0
L200418,1350,2,1,33,suburbs,yes,233400.0
L200419,867,1,1,36,suburbs,yes,102700.0
L200420,1726,3,2,19,downtown,no,433800.0
L200421,4466,5,4,72,downtown,yes,803800.0
L200422,1469,2,1,49,suburbs,yes,253300.0
L200423,2100,1,1,69,rural,no,281200.0
L200424,2114,3,2,12,suburbs,no,416700.0
L200425,2626,4,4,33,downtown,no,532000.0
L200426,2576,3,3,64,suburbs,no,426100.0
L200427,2866,3,3,13,downtown,yes,629700.0
L200428,939,1,1,16,suburbs,yes,173600.0
L200429,1852,1,1,73,rural,yes,269800.0
L200430,4147,5,4,9,downtown,yes,763800.0
L200431,4406,5,4,36,rural,no,743100.0
L200432,609,1,1,5,suburbs,yes,174600.0
L200433,3058,4,3,27,downtown,yes,589300.0
L200434,1139,1,1,65,downtown,no,200900.0
L200435,2688,3,2,29,downtown,yes,523400.0
L200436,632,2,1,37,downtown,yes,221500.0
L200437,3549,4,3,73,suburbs,no,592400.0
L200438,4447,5,4,31,waterfront,yes,851400.0
L200439,1080,1,1,48,downtown,no,223200.0
L200440,2201,3,2,41,waterfront,yes,501900.0
L200441,1357,1,1,57,suburbs,yes,211000.0
L200442,1364,1,1,46,suburbs,yes,227300.0
L200443,3691,4,4,66,suburbs,yes,589300.0
L200444,1062,1,1,70,rural,yes,159100.0
L200445,1083,1,1,78,waterfront,no,268100.0
L200446,2044,3,2,27,downtown,yes,443800.0
L200447,1805,2,2,14,suburbs,yes,356100.0
L200448,4406,6,4,14,downtown,yes,804200.0
L200449,2138,2,2,63,downtown,yes,430800.0
L200450,2740,3,2,69,downtown,yes,512600.0
L200451,1002,1,1,19,suburbs,yes,216300.0
L200452,1981,2,1,38,downtown,no,386600.0
L200453,1403,2,2,1,rural,no,250900.0
L200454,2021,2,1,46,rural,yes,315500.0
L200455,1784,1,1,56,suburbs,yes,293400.0
L200456,1057,2,1,12,suburbs,yes,206900.0
L200457,2762,3,3,74,suburbs,yes,494900.0
L200458,2616,3,2,68,downtown,no,458400.0
L200459,2622,3,2,76,suburbs,yes,426900.0
L200460,2254,3,2,75,downtown,yes,463700.0
L200461,2647,4,4,6,downtown,yes,566200.0
L200462,3442,4,4,35,suburbs,yes,608800.0
L200463,1619,2,1,34,downtown,yes,302700.0
L200464,1348,1,1,1,suburbs,yes,224400.0
L200465,3242,3,2,74,suburbs,no,498000.0
L200466,1135,1,1,2,suburbs,yes,248000.0
L200467,1970,2,2,55,suburbs,yes,366500.0
L200468,2867,3,2,24,downtown,yes,581200.0
L200469,2879,3,2,47,downtown,no,489700.0
L200470,3493,4,4,39,suburbs,yes,638500.0
L200471,2439,3,2,17,suburbs,yes,417100.0
L200472,2540,1,1,34,rural,yes,406000.0
L200473,773,2,2,56,downtown,no,204100.0
L200474,3681,5,4,45,rural,yes,678200.0
L200475,1524,2,2,17,downtown,yes,352000.0
L200476,3880,5,4,20,suburbs,yes,686300.0
L200477,3113,3,2,55,rural,no,469800.0
L200478,4174,4,3,16,rural,no,660500.0
L200479,4013,6,4,47,suburbs,yes,672300.0
L200480,2074,3,2,77,downtown,yes,462900.0
L200481,2136,3,3,46,suburbs,yes,375000.0
L200482,4126,4,4,22,rural,yes,662900.0
L200483,4044,5,4,53,downtown,yes,742000.0
L200484,3365,3,2,75,downtown,yes,594900.0
L200485,4201,4,4,51,suburbs,no,664200.0
L200486,3037,4,4,45,suburbs,yes,562000.0
L200487,696,1,1,49,suburbs,yes,148100.0
L200488,2759,4,3,5,downtown,yes,582800.0
L200489,2043,2,1,1,rural,yes,367200.0
L200490,676,1,1,47,rural,no,76800.0
L200491,2767,3,3,38,suburbs,no,455400.0
L200492,2785,3,2,78,downtown,no,490900.0
L200493,3454,5,4,38,downtown,no,682400.0
L200494,3638,4,3,67,suburbs,yes,589600.0
L200495,1857,2,2,52,rural,yes,287500.0
L200496,4454,5,4,24,suburbs,yes,712600.0
L200497,2322,2,2,69,suburbs,no,344500.0
L200498,2289,2,1,7,rural,yes,341600.0
L200499,1304,1,1,55,suburbs,yes,189500.0
L200500,4461,3,2,36,waterfront,no,828900.0
L200501,2136,3,3,57,suburbs,yes,464400.0
L200502,1267,1,1,7,suburbs,no,247600.0
L200503,3900,5,4,16,downtown,no,747500.0
L200504,4336,4,3,23,downtown,yes,769600.0
L200505,1434,3,2,45,waterfront,no,362500.0
L200506,2899,3,2,73,suburbs,yes,517900.0
L200507,4130,6,4,72,suburbs,no,658500.0
L200508,3184,3,3,52,suburbs,yes,482200.0
L200509,2303,3,2,9,downtown,yes,500400.0
L200510,2837,4,4,62,rural,yes,455800.0
L200511,996,1,1,67,downtown,no,231700.0
L200512,4433,5,4,43,suburbs,no,771400.0
L200513,2601,3,2,5,suburbs,yes,488400.0
L200514,772,1,1,13,suburbs,no,174400.0
L200515,1918,2,2,64,suburbs,yes,340800.0
L200516,2200,2,1,12,waterfront,no,569000.0
L200517,4478,6,4,27,rural,yes,805300.0
L200518,4013,5,4,61,waterfront,no,771100.0
L200519,1785,3,3,12,suburbs,no,377000.0
L200520,1251,2,1,34,suburbs,no,275600.0
L200521,766,1,1,54,waterfront,yes,287400.0
L200522,2821,4,3,39,downtown,no,547100.0
L200523,2337,2,2,70,waterfront,yes,485700.0
L200524,2641,4,4,14,downtown,yes,570000.0
L200525,1663,2,2,45,rural,yes,245300.0
L200526,3748,3,2,28,rural,no,598700.0
L200527,2614,3,2,44,suburbs,no,469500.0
L200528,4181,4,3,10,rural,yes,677400.0
L200529,1534,2,1,54,downtown,no,303300.0
L200530,1609,2,1,16,suburbs,yes,284100.0
L200531,2885,3,3,64,suburbs,yes,492400.0
L200532,3303,4,4,71,waterfront,yes,674300.0
L200533,1751,3,3,27,suburbs,yes,315500.0
L200534,2735,3,2,57,downtown,yes,589200.0
L200535,2592,4,4,43,downtown,yes,493000.0
L200536,3184,3,3,68,rural,yes,453400.0
L200537,3081,2,2,74,rural,yes,472600.0
L200538,1381,1,1,69,waterfront,yes,360600.0
L200539,1043,1,1,20,downtown,no,243200.0
L200540,1663,2,1,47,suburbs,yes,273800.0
L200541,1092,1,1,7,suburbs,yes,244700.0
L200542,2744,4,3,24,suburbs,no,499400.0
L200543,2597,4,3,29,rural,yes,432800.0
L200544,611,1,1,39,downtown,no,210200.0
L200545,3816,6,4,66,suburbs,yes,668700.0
L200546,3394,3,2,1,suburbs,yes,626800.0
L200547,2419,4,3,39,suburbs,yes,446200.0
L200548,1230,1,1,65,downtown,no,271500.0
L200549,1227,1,1,18,suburbs,yes,237700.0
L200550,4232,5,4,64,downtown,no,760800.0
L200551,1520,1,1,6,downtown,yes,362900.0
L200552,3956,5,4,40,suburbs,yes,704000.0
L200553,3187,3,3,78,suburbs,yes,524800.0
L200554,3031,3,3,30,waterfront,no,586100.0
L200555,3859,3,2,51,suburbs,yes,602800.0
L200556,4075,4,4,13,suburbs,yes,711200.0
